"Source:","/home/max/Documents/Elettronica/brick/slave-8in-8out/slave-8in-8out.kicad_sch"
"Date:","sab 20 nov 2021, 12:42:31"
"Tool:","Eeschema 5.99.0-unknown-9f841da98e~134~ubuntu20.04.1"
"Generator:","/usr/share/kicad-nightly/plugins/bom_csv_grouped_by_value.py"
"Component Count:","86"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C49678"
"","","D1","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D2","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D3","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D4","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D5","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D6","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D7","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D8","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D9","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D10","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D11","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D12","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D13","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D14","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D15","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D16","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D17","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D18","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D19","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D20","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D21","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D22","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D23","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","D24","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","J1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","skip"
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","skip"
"","","J3","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~","skip"
"","","J4","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","skip"
"","","J5","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","skip"
"","","J6","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","skip"
"","","J7","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","skip"
"","","J8","Conn_01x10_Male","Connector:Conn_01x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","skip"
"","","J9","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","skip"
"","","R1","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809301717_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","C25744"
"","","R2","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809301717_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","C25744"
"","","R3","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
"","","R4","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
"","","R5","330","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810170414_UNI-ROYAL-Uniroyal-Elec-0402WGF4700TCE_C25117.pdf","C25117"
"","","R6","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
"","","R7","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
"","","R8","330","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810170414_UNI-ROYAL-Uniroyal-Elec-0402WGF4700TCE_C25117.pdf","C25117"
"","","R9","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
"","","R10","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25917"
